"stem_id","date","month","year","habitat","stage","count"
1,2008-06-28,6,2008,"riparian","egg",0
1,2008-06-28,6,2008,"riparian","early instar",0
2,2008-06-28,6,2008,"riparian","egg",0
2,2008-06-28,6,2008,"riparian","early instar",0
3,2008-06-28,6,2008,"riparian","egg",0
3,2008-06-28,6,2008,"riparian","early instar",0
4,2008-06-28,6,2008,"riparian","egg",0
4,2008-06-28,6,2008,"riparian","early instar",0
5,2008-06-28,6,2008,"riparian","egg",0
5,2008-06-28,6,2008,"riparian","early instar",21
6,2008-06-28,6,2008,"riparian","egg",0
6,2008-06-28,6,2008,"riparian","early instar",0
7,2008-06-28,6,2008,"riparian","egg",0
7,2008-06-28,6,2008,"riparian","early instar",0
8,2008-06-28,6,2008,"upland","egg",0
8,2008-06-28,6,2008,"upland","early instar",20
9,2008-06-28,6,2008,"upland","egg",0
9,2008-06-28,6,2008,"upland","early instar",2
10,2008-06-28,6,2008,"upland","egg",0
10,2008-06-28,6,2008,"upland","early instar",31
11,2008-06-28,6,2008,"upland","egg",0
11,2008-06-28,6,2008,"upland","early instar",15
12,2008-06-28,6,2008,"upland","egg",0
12,2008-06-28,6,2008,"upland","early instar",14
13,2008-07-04,7,2008,"riparian","egg",0
13,2008-07-04,7,2008,"riparian","early instar",0
14,2008-07-04,7,2008,"riparian","egg",0
14,2008-07-04,7,2008,"riparian","early instar",0
15,2008-07-04,7,2008,"riparian","egg",0
15,2008-07-04,7,2008,"riparian","early instar",7
16,2008-07-04,7,2008,"riparian","egg",0
16,2008-07-04,7,2008,"riparian","early instar",2
17,2008-07-04,7,2008,"riparian","egg",0
17,2008-07-04,7,2008,"riparian","early instar",0
18,2008-07-04,7,2008,"riparian","egg",0
18,2008-07-04,7,2008,"riparian","early instar",0
19,2008-07-04,7,2008,"riparian","egg",0
19,2008-07-04,7,2008,"riparian","early instar",0
20,2008-07-04,7,2008,"upland","egg",0
20,2008-07-04,7,2008,"upland","early instar",8
21,2008-07-04,7,2008,"upland","egg",0
21,2008-07-04,7,2008,"upland","early instar",29
22,2008-07-04,7,2008,"upland","egg",0
22,2008-07-04,7,2008,"upland","early instar",12
23,2008-07-04,7,2008,"upland","egg",0
23,2008-07-04,7,2008,"upland","early instar",2
24,2008-07-04,7,2008,"upland","egg",0
24,2008-07-04,7,2008,"upland","early instar",0
25,2008-07-04,7,2008,"upland","egg",0
25,2008-07-04,7,2008,"upland","early instar",0
26,2008-07-04,7,2008,"upland","egg",0
26,2008-07-04,7,2008,"upland","early instar",0
27,2008-07-11,7,2008,"riparian","egg",0
27,2008-07-11,7,2008,"riparian","early instar",4
28,2008-07-11,7,2008,"riparian","egg",0
28,2008-07-11,7,2008,"riparian","early instar",0
29,2008-07-11,7,2008,"riparian","egg",0
29,2008-07-11,7,2008,"riparian","early instar",0
30,2008-07-11,7,2008,"riparian","egg",0
30,2008-07-11,7,2008,"riparian","early instar",3
31,2008-07-11,7,2008,"upland","egg",0
31,2008-07-11,7,2008,"upland","early instar",15
32,2008-07-11,7,2008,"upland","egg",0
32,2008-07-11,7,2008,"upland","early instar",1
33,2008-07-11,7,2008,"upland","egg",0
33,2008-07-11,7,2008,"upland","early instar",14
34,2008-07-11,7,2008,"upland","egg",0
34,2008-07-11,7,2008,"upland","early instar",7
35,2008-07-20,7,2008,"riparian","egg",0
35,2008-07-20,7,2008,"riparian","early instar",0
36,2008-07-20,7,2008,"riparian","egg",0
36,2008-07-20,7,2008,"riparian","early instar",2
37,2008-07-20,7,2008,"upland","egg",0
37,2008-07-20,7,2008,"upland","early instar",0
38,2008-07-20,7,2008,"upland","egg",0
38,2008-07-20,7,2008,"upland","early instar",0
39,2008-07-20,7,2008,"upland","egg",0
39,2008-07-20,7,2008,"upland","early instar",0
40,2008-07-20,7,2008,"upland","egg",0
40,2008-07-20,7,2008,"upland","early instar",0
41,2008-07-20,7,2008,"upland","egg",0
41,2008-07-20,7,2008,"upland","early instar",0
42,2008-07-25,7,2008,"riparian","egg",0
42,2008-07-25,7,2008,"riparian","early instar",0
43,2008-07-25,7,2008,"riparian","egg",0
43,2008-07-25,7,2008,"riparian","early instar",0
44,2008-07-25,7,2008,"riparian","egg",0
44,2008-07-25,7,2008,"riparian","early instar",0
45,2008-07-25,7,2008,"riparian","egg",0
45,2008-07-25,7,2008,"riparian","early instar",0
46,2008-07-25,7,2008,"riparian","egg",0
46,2008-07-25,7,2008,"riparian","early instar",0
47,2008-07-25,7,2008,"upland","egg",0
47,2008-07-25,7,2008,"upland","early instar",0
48,2008-07-25,7,2008,"upland","egg",0
48,2008-07-25,7,2008,"upland","early instar",0
49,2008-07-25,7,2008,"upland","egg",0
49,2008-07-25,7,2008,"upland","early instar",0
50,2008-07-25,7,2008,"upland","egg",0
50,2008-07-25,7,2008,"upland","early instar",0
51,2008-07-25,7,2008,"upland","egg",0
51,2008-07-25,7,2008,"upland","early instar",0
52,2008-08-01,8,2008,"riparian","egg",0
52,2008-08-01,8,2008,"riparian","early instar",0
53,2008-08-01,8,2008,"riparian","egg",0
53,2008-08-01,8,2008,"riparian","early instar",0
54,2008-08-01,8,2008,"riparian","egg",0
54,2008-08-01,8,2008,"riparian","early instar",0
55,2008-08-01,8,2008,"riparian","egg",0
55,2008-08-01,8,2008,"riparian","early instar",0
56,2008-08-01,8,2008,"riparian","egg",0
56,2008-08-01,8,2008,"riparian","early instar",0
57,2008-08-01,8,2008,"riparian","egg",0
57,2008-08-01,8,2008,"riparian","early instar",0
58,2008-08-01,8,2008,"upland","egg",0
58,2008-08-01,8,2008,"upland","early instar",0
59,2008-08-01,8,2008,"upland","egg",0
59,2008-08-01,8,2008,"upland","early instar",0
60,2008-08-01,8,2008,"upland","egg",0
60,2008-08-01,8,2008,"upland","early instar",0
61,2008-08-01,8,2008,"upland","egg",0
61,2008-08-01,8,2008,"upland","early instar",0
62,2008-08-01,8,2008,"upland","egg",0
62,2008-08-01,8,2008,"upland","early instar",0
63,2008-08-01,8,2008,"upland","egg",0
63,2008-08-01,8,2008,"upland","early instar",0
64,2008-08-08,8,2008,"upland","egg",0
64,2008-08-08,8,2008,"upland","early instar",0
68,2008-08-08,8,2008,"upland","egg",0
68,2008-08-08,8,2008,"upland","early instar",0
69,2008-08-08,8,2008,"upland","egg",0
69,2008-08-08,8,2008,"upland","early instar",0
70,2008-08-08,8,2008,"upland","egg",0
70,2008-08-08,8,2008,"upland","early instar",0
71,2008-08-08,8,2008,"upland","egg",0
71,2008-08-08,8,2008,"upland","early instar",0
72,2008-08-08,8,2008,"upland","egg",0
72,2008-08-08,8,2008,"upland","early instar",0
73,2008-08-08,8,2008,"upland","egg",0
73,2008-08-08,8,2008,"upland","early instar",0
74,2008-08-08,8,2008,"upland","egg",0
74,2008-08-08,8,2008,"upland","early instar",0
75,2008-08-08,8,2008,"upland","egg",0
75,2008-08-08,8,2008,"upland","early instar",0
65,2008-08-08,8,2008,"upland","egg",0
65,2008-08-08,8,2008,"upland","early instar",0
66,2008-08-08,8,2008,"upland","egg",0
66,2008-08-08,8,2008,"upland","early instar",0
67,2008-08-08,8,2008,"upland","egg",0
67,2008-08-08,8,2008,"upland","early instar",0
76,2008-09-06,9,2008,"riparian","egg",0
76,2008-09-06,9,2008,"riparian","early instar",1
77,2008-09-06,9,2008,"riparian","egg",0
77,2008-09-06,9,2008,"riparian","early instar",6
78,2008-09-06,9,2008,"riparian","egg",0
78,2008-09-06,9,2008,"riparian","early instar",6
79,2008-09-06,9,2008,"riparian","egg",0
79,2008-09-06,9,2008,"riparian","early instar",2
80,2008-09-06,9,2008,"riparian","egg",0
80,2008-09-06,9,2008,"riparian","early instar",32
81,2008-09-06,9,2008,"riparian","egg",0
81,2008-09-06,9,2008,"riparian","early instar",5
82,2008-09-06,9,2008,"riparian","egg",0
82,2008-09-06,9,2008,"riparian","early instar",0
83,2008-09-06,9,2008,"upland","egg",0
83,2008-09-06,9,2008,"upland","early instar",8
84,2008-09-06,9,2008,"upland","egg",0
84,2008-09-06,9,2008,"upland","early instar",13
85,2008-09-06,9,2008,"upland","egg",0
85,2008-09-06,9,2008,"upland","early instar",5
86,2008-09-06,9,2008,"upland","egg",0
86,2008-09-06,9,2008,"upland","early instar",6
87,2008-09-06,9,2008,"upland","egg",0
87,2008-09-06,9,2008,"upland","early instar",0
88,2008-09-06,9,2008,"upland","egg",0
88,2008-09-06,9,2008,"upland","early instar",6
89,2008-09-17,9,2008,"riparian","egg",0
89,2008-09-17,9,2008,"riparian","early instar",0
90,2008-09-17,9,2008,"riparian","egg",0
90,2008-09-17,9,2008,"riparian","early instar",0
91,2008-09-17,9,2008,"riparian","egg",0
91,2008-09-17,9,2008,"riparian","early instar",0
92,2008-09-17,9,2008,"riparian","egg",2
92,2008-09-17,9,2008,"riparian","early instar",0
93,2008-09-17,9,2008,"riparian","egg",1
93,2008-09-17,9,2008,"riparian","early instar",2
94,2008-09-17,9,2008,"riparian","egg",0
94,2008-09-17,9,2008,"riparian","early instar",0
95,2008-09-17,9,2008,"upland","egg",5
95,2008-09-17,9,2008,"upland","early instar",7
96,2008-09-17,9,2008,"upland","egg",22
96,2008-09-17,9,2008,"upland","early instar",22
97,2008-09-17,9,2008,"upland","egg",7
97,2008-09-17,9,2008,"upland","early instar",9
98,2008-09-17,9,2008,"upland","egg",3
98,2008-09-17,9,2008,"upland","early instar",11
99,2008-09-17,9,2008,"upland","egg",3
99,2008-09-17,9,2008,"upland","early instar",12
100,2008-09-17,9,2008,"upland","egg",7
100,2008-09-17,9,2008,"upland","early instar",6
101,2008-09-23,9,2008,"riparian","egg",0
101,2008-09-23,9,2008,"riparian","early instar",0
102,2008-09-23,9,2008,"riparian","egg",0
102,2008-09-23,9,2008,"riparian","early instar",1
103,2008-09-23,9,2008,"riparian","egg",0
103,2008-09-23,9,2008,"riparian","early instar",0
104,2008-09-23,9,2008,"riparian","egg",0
104,2008-09-23,9,2008,"riparian","early instar",0
105,2008-09-23,9,2008,"riparian","egg",0
105,2008-09-23,9,2008,"riparian","early instar",2
106,2008-09-23,9,2008,"riparian","egg",0
